nom;telephone;adresse
Couture Alassane Fall;338937093;
Couturama Créations;338254601,771785813,;Rue 5 X F Point E Dakar ,...
Gadiaga;338214286;45 Avenue Faidherbe Dakar
Chez Abdoulaye Diallo;338219185;93 Rue A. A. Ndoye X Mass Diokhane...
Bamba Couture;338372809,776437054,;56 B Golf Sud Golf Sud Dakar
Touba Couture Chez Madame Diop;338350587;
Zing Couture;338346426,775289950,775493232,;Pikine
Dabakh Couture Le Walo;338375801,8;
Le Cayor Broderie Moderne;338346134;Tally Boumack N°3965 Pikine
Salon De Couture Dabakh;338372829;
Tailleur Mannequin «gadiaga»;338214286;45 Avenue Faidherbe...
Touba Couture;338212481;126 Rue Joseph Gomis Dakar-plateau Dakar
Touba Couture «talla Fall»;338225196;57 Rue Carnot Dakar-plateau Dakar
Laay Diaara Couture;338244625;Rue 14 Prolongee X Avenue Bourguiba Dakar...
Taw Fekh Broderie;,;Rue 13 X Castors Dieuppeul-derklé Dakar
Nouvelle Elegance De Couture Et Broderie;338242134;1105 Square Niary...
Mbil Or Couture;338253898,776595823,;Cite Prestation Familiale Dakar
Diewo Creation;338211788;
Salon De Couture Lamp Fall;775043369;
Tailleur Ibrahima Diallo;,;Rue 1x 6 Médina Médina Dakar
Boursine Couture;338234048,776378145,;77 Boulevard General Du Gaulle...
Sope Nabi;338218068;42 Rue Amadou A. Ndoye Dakar-plateau Dakar
Salon De Couture Anta Seye;338353704;Rue 13 Cité Port Dakar-plateau Dakar
TaÏf Couture;774570758;
Kursy;775713071,338670809,;
Keur Khadim;338223558,776379662,;Rue 6 X 3 Medina Dakar
Wakeur Serigne Fallou Couture;773052688;
Wakeur Khadim Couture;338350459;269 Square U.6 Parcelles Assainies Dakar
Wakeur Serigne Fallou Broderie;776537311;
Complexe Saphir;338211302;131 Zone B Dakar , numéro de fax 338236114 ,...
Seydi Djamil Couture;338259637;235 Ouagou Niayes 2 Dakar
Complexe Sadiya Gueye;338204914;Route De Ngor , code postal: 8077 Dakar
Tandiang Couture;338210450;Rue 6 X 23 Médina Dakar , code postal: 28442
Tailleur Abdoulaye Diallo;338219185;Rue A. A. Ndoye X Mass Diokhané...
Tailleur Broderie;338216256;113 Avenue Blaise Diagne X Marsat...
Carrefour Couture;338357044;
Super Diamono Couture;338934217;
Taaru Couture;338771303;170 Rue 206 Sahm Notaire Dakar
TaÏf Broderie;775343699;244 Rue Pa 22 - 02 Parcelles Assainies Dakar
Madinatou Couture;338218059;42 Rue Amadou A. Ndoye Dakar-plateau Dakar
Plateau Broderie;338213509,779083824,;36 Rue Mohamed 5 Dakar
Diamono Couture Broderie;338532411,775378626,;Pikine Nord
Salon Mame AÏda;339552374;Square Keur Matar Ndack Tivaouane Tivaouane
Zeina Création;338554141;409 Square U.8 Parcelles Assainies Dakar
Salon De Couture;338548574;1820 Rue Pn 29 Pikine Nord Pikine
Couture PrÊt A Porter Ahmadou Ba;338222034,776411905,;47 Rue Felix...
Samassa Couture;338358708;Rue Pa1-02 Parcelles Assainies Dakar
Touba Couture «chez Doudou Leye Et FrÈres»;338263300;71 Square U. 11...
Sandial Couture;338217264;85 Rue Joseph Gomis Dakar-plateau Dakar
Chez Amadou Ba;338222034;47 Rue Félix Faure Dakar-plateau Dakar
Touba Mboro Couture Mame Modou Mboupet Freres;775112102;
Salon De Couture Adja;338350170;
Touba Khitmh;776691673;
Mandel Couture;338224151;92 Rue Joseph Gomis Dakar , code postal: 11685
Maty Création;338272902;8173 Route Du Camp Pénal Liberté 6 Sicap...
Chef Thiam Couture;773826311;
Samba Baye Fall Couture;338202807;3 Yoff Dakar
Amidon Couture;338225582;Rue Dial Diop X Ambroise Mendy
Chez Petit Et Grand Barry;338233722;Rue Mohamed V Dakar-plateau Dakar
MaÎtre Tailleur Chez Abdou Aziz Diop;338553017;222 Square U. 4...
Nabil Couture;338224151;127 Avenue Lamine Gueye X Felix Faure Dakar ,...
Week End;338250764;
Salon De Couture Saloum;775508629;
Macoura Ngom;338258035,776571256,;Niary Tally Grand Dakar
Wade Et Faye Touba Broderie;775045412;
Touba Ndiambour Couture;338350766;
Ousseynou Couture;338249481;Zone A En Face College Saint Pierre Grand...
Ndigel Couture;338353803,776497012,;Rue Gs02 Golf Sud Guediawaye
Wakeur Mohamed;775471582;
Chez Diaw Couture Broderie;776667425;
Salon De Couture Sope Serigne Fallou Mbacke;775047128;
Damel Couture;338427848;11 Rue Mohamed 5 X Amadou Assane Ndoye Dakar
Diamono Couture Broderie Pene Et Freres;338532411;Pikine Nord
Cheickh Mbacke Kane Couture;338772690;
Couture Madina;338279080;Route Route Du Front De Terre En Face College...
Ndiaga Tall;338221270,778110321,;8-22 Rue De Thiong Dakar
Broderie Khalifa Ababacar Sy;338210736;Rue 11 X 6 Medina Dakar
Touba Couture Et Broderie «keur Mame Diarra Bousso»;338374935;
Xeewale Couture Broderie;338354462;
Mounass Couture;338271922;...
Wakeur Serigne Falilou;338273022;
Zeina Couture;338371349;Pikine Nord
Thesou Couture;338241200;Niary Tally Dakar
Salon De Couture Beugue Fallou;338370937;
Wakheur Cheikh Issa Diene;772533797;Rue Pn 29 Pikine Nord Pikine
Wakeur Serigne Amdy Fall Salon De Couture;338372799;
Diongue Couture;338532469,775579967,;Pikine
Tivaoune Broderie;338343695;
Wakeur Khadim Broderie;338356114;279 Square U.2 Parcelles Assainies Dakar
Thiam Serimacen Couture;338532362;
